"Word" "WordCount" "Proportion(%)" "Ranking" "Topic"
"1" "migration" 306 0.152 1 "1_Flucht"
"2" "afrika" 301 0.15 2 "1_Flucht"
"3" "syrien" 297 0.148 3 "1_Flucht"
"4" "illegal" 243 0.121 4 "1_Flucht"
"5" "islam" 173 0.086 5 "1_Flucht"
"6" "integration" 160 0.08 6 "1_Flucht"
"7" "islamistisch" 135 0.067 7 "1_Flucht"
"8" "ausländer" 128 0.064 8 "1_Flucht"
"9" "abschiebung" 116 0.058 9 "1_Flucht"
"10" "vielfalt" 100 0.05 10 "1_Flucht"
"11" "terrorismus" 91 0.045 11 "1_Flucht"
"12" "mittelmeer" 90 0.045 12 "1_Flucht"
"13" "terror" 85 0.042 13 "1_Flucht"
"14" "arabisch" 83 0.041 14 "1_Flucht"
"15" "muslime" 83 0.041 15 "1_Flucht"
"16" "asyl" 77 0.038 16 "1_Flucht"
"17" "rassismus" 76 0.038 17 "1_Flucht"
"18" "fremd" 72 0.036 18 "1_Flucht"
"19" "gefährder" 70 0.035 19 "1_Flucht"
"20" "welle" 65 0.032 20 "1_Flucht"
"21" "zuwanderer" 63 0.031 21 "1_Flucht"
"22" "migrationspakt" 55 0.027 22 "1_Flucht"
"23" "flucht" 51 0.025 23 "1_Flucht"
"24" "grenzkontrolle" 40 0.02 24 "1_Flucht"
"25" "grenzöffnung" 39 0.019 25 "1_Flucht"
"26" "syrer" 38 0.019 26 "1_Flucht"
"27" "willkommenskultur" 37 0.018 27 "1_Flucht"
"28" "schlepper" 29 0.014 28 "1_Flucht"
"29" "eltern" 304 0.151 1 "2_Familie"
"30" "geschlecht" 137 0.068 2 "2_Familie"
"31" "mutter" 123 0.061 3 "2_Familie"
"32" "jugendliche" 100 0.05 4 "2_Familie"
"33" "ehe" 92 0.046 5 "2_Familie"
"34" "quote" 90 0.045 6 "2_Familie"
"35" "gender" 86 0.043 7 "2_Familie"
"36" "divers" 82 0.041 8 "2_Familie"
"37" "gleichstellung" 62 0.031 9 "2_Familie"
"38" "gleichstellung" 62 0.031 10 "2_Familie"
"39" "kitas" 61 0.03 11 "2_Familie"
"40" "vater" 46 0.023 12 "2_Familie"
"41" "benachteiligung" 42 0.021 13 "2_Familie"
"42" "mütter" 35 0.017 14 "2_Familie"
"43" "kindergarten" 32 0.016 15 "2_Familie"
"44" "energiewende" 276 0.138 1 "3_Klimawandel"
"45" "co2" 239 0.119 2 "3_Klimawandel"
"46" "klima" 230 0.115 3 "3_Klimawandel"
"47" "umwelt" 145 0.072 4 "3_Klimawandel"
"48" "klimawandel" 141 0.07 5 "3_Klimawandel"
"49" "klimaschutz" 105 0.052 6 "3_Klimawandel"
"50" "umweltschutz" 90 0.045 7 "3_Klimawandel"
"51" "kohle" 74 0.037 8 "3_Klimawandel"
"52" "kohleausstieg" 66 0.033 9 "3_Klimawandel"
"53" "greta" 42 0.021 10 "3_Klimawandel"
"54" "kernkraft" 36 0.018 11 "3_Klimawandel"
"55" "emission" 35 0.017 12 "3_Klimawandel"
"56" "lockdown" 357 0.178 1 "4_Corona"
"57" "corona" 354 0.176 2 "4_Corona"
"58" "meinungsfreiheit" 169 0.084 3 "4_Corona"
"59" "maske" 156 0.078 4 "4_Corona"
"60" "coronakrise" 148 0.074 5 "4_Corona"
"61" "virus" 143 0.071 6 "4_Corona"
"62" "pandemie" 140 0.07 7 "4_Corona"
"63" "impfung" 82 0.041 8 "4_Corona"
"64" "coronamaßnahmen" 81 0.04 9 "4_Corona"
"65" "widerstand" 74 0.037 10 "4_Corona"
"66" "covid-19" 73 0.036 11 "4_Corona"
"67" "risikogruppe" 65 0.032 12 "4_Corona"
"68" "ausbreitung" 47 0.023 13 "4_Corona"
"69" "freiheitsrechte" 47 0.023 14 "4_Corona"
"70" "infektion" 45 0.022 15 "4_Corona"
"71" "zensur" 42 0.021 16 "4_Corona"
"72" "coronapandemie" 41 0.02 17 "4_Corona"
"73" "infiziert" 38 0.019 18 "4_Corona"
"74" "antisemitismus" 81 0.04 1 "5_NS_Vergangenheit"
"75" "jude" 76 0.038 2 "5_NS_Vergangenheit"
"76" "jüdisch" 70 0.035 3 "5_NS_Vergangenheit"
"77" "stolz" 61 0.03 4 "5_NS_Vergangenheit"
"78" "nazi" 51 0.025 5 "5_NS_Vergangenheit"
"79" "linksextrem" 42 0.021 6 "5_NS_Vergangenheit"
