"1_Flucht_Migration" "2_Familie_Gender" "3_Klimawandel" "4_Corona" "5_NS_Vergangenheit" "Other_1" "Other_2" "Other_3" "Other_4" "Other_5"
"1" "soldat" "eltern [✓]" "haushalt" "lockdown [✓]" "ddr" "könig" "sylvia" "digital" "opfer" "ezb"
"2" "bundeswehr" "gewalt" "risiko" "corona [✓]" "rent" "klare" "israel" "wohnung" "datum" "programm"
"3" "rußland" "geschlecht [✓]" "energiewende [✓]" "grundrecht" "polizei" "leif" "beutin" "behörde" "stiftung" "rechtsstaat"
"4" "migration [✓]" "mutter [✓]" "betrieb" "spahn" "mehrheit" "erik" "canan" "kommune" "konzept" "europäisch_union"
"5" "afrika [✓]" "schüler" "strom" "meinungsfreiheit [✓]" "beratung" "steier" "carsten" "brüssel" "gruppe" "parlamentarisch"
"6" "syrien [✓]" "quote [✓]" "landwirtschaft" "abstimmung" "dritt" "hitschler" "chrupalla" "fehler" "artikel" "illegal [1]"
"7" "türkei" "karliczek" "co" "maske [✓]" "wähler" "rützel" "dietmar" "verfahren" "vertrauen" "altpartei"
"8" "afghanistan" "mädchen" "co2 [✓]" "vizepräsidentin_dagmar" "sozialistisch" "daldrup" "mindrup" "kommission" "reform" "zustand"
"9" "militärisch" "giffey" "infrastruktur" "coronakrise" "deutsche" "theodor" "anja" "positiv" "bürokratie" "plan"
"10" "un" "kindergeld" "klima [✓]" "virus [✓]" "ausbildung" "münz" "boehringer" "arzt" "politiker" "ausgabe"
